,Sentence #,Word,POS,Tag
239,,EU,JJ,ORG
240,,farm,NN,O
241,,ministers,NNS,O
242,,',POS,O
243,,meeting,NN,O
244,,of,IN,O
245,,causing,VBG,O
246,,unjustified,JJ,O
247,,alarm,NN,O
248,,through,IN,O
249,,dangerous,JJ,O
250,,generalisation,NN,O
251,Sentence: 11,Only,RB,O
252,,France,NNP,LOC
253,,and,CC,O
254,,Britain,NNP,LOC
255,,backed,VBD,O
256,,Fischler,NNP,PER
257,,'s,POS,O
258,,proposal,NN,O
259,Sentence: 12,The,DT,O
260,,EU,NNP,ORG
261,,'s,POS,O
262,,scientific,JJ,O
263,,veterinary,JJ,O
264,,and,CC,O
265,,multidisciplinary,JJ,O
266,,committees,NNS,O
267,,are,VBP,O
268,,due,JJ,O
269,,to,TO,O
270,,re-examine,VB,O
271,,the,DT,O
272,,issue,NN,O
273,,early,RB,O
274,,next,JJ,O
275,,month,NN,O
276,,and,CC,O
277,,make,VB,O
278,,recommendations,NNS,O
279,,to,TO,O
280,,the,DT,O
281,,senior,JJ,O
282,,veterinary,JJ,O
283,,officials,NNS,O
284,Sentence: 13,Sheep,NNP,O
285,,have,VBP,O
286,,long,RB,O
287,,been,VBN,O
288,,known,VBN,O
289,,to,TO,O
290,,contract,NN,O
291,,scrapie,NN,O
292,,",",",",O
293,,a,DT,O
294,,brain-wasting,JJ,O
295,,disease,NN,O
296,,similar,JJ,O
297,,to,TO,O
298,,BSE,NNP,MISC
299,,which,WDT,O
300,,is,VBZ,O
301,,believed,VBN,O
302,,to,TO,O
303,,have,VB,O
304,,been,VBN,O
305,,transferred,VBN,O
306,,to,TO,O
307,,cattle,NNS,O
308,,through,IN,O
309,,feed,NN,O
310,,containing,VBG,O
311,,animal,NN,O
312,,waste,NN,O
313,Sentence: 14,British,JJ,MISC
314,,farmers,NNS,O
315,,denied,VBN,O
316,,on,IN,O
317,,Thursday,NNP,O
318,,there,EX,O
319,,was,VBD,O
320,,any,DT,O
321,,danger,NN,O
322,,to,TO,O
323,,human,JJ,O
324,,health,NN,O
325,,from,IN,O
326,,their,PRP$,O
327,,sheep,NN,O
328,,",",",",O
329,,but,CC,O
330,,expressed,VBD,O
331,,concern,NN,O
332,,that,IN,O
333,,German,JJ,MISC
334,,government,NN,O
335,,advice,NN,O
336,,to,TO,O
337,,consumers,NNS,O
338,,to,TO,O
339,,avoid,VB,O
340,,British,JJ,MISC
341,,lamb,NN,O
342,,might,MD,O
343,,influence,VB,O
344,,consumers,NNS,O
345,,across,IN,O
346,,Europe,NNP,LOC
347,Sentence: 15,What,WP,O
348,,we,PRP,O
349,,have,VBP,O
350,,to,TO,O
351,,be,VB,O
352,,extremely,RB,O
353,,careful,JJ,O
354,,of,IN,O
355,,is,VBZ,O
356,,how,WRB,O
357,,other,JJ,O
358,,countries,NNS,O
359,,are,VBP,O
360,,going,VBG,O
361,,to,TO,O
362,,take,VB,O
363,,Germany,NNP,LOC
364,,'s,POS,O
365,,lead,NN,O
366,,",",",",O
367,,Welsh,NNP,ORG
368,,National,NNP,ORG
369,,Farmers,NNP,ORG
370,,',POS,ORG
371,,Union,NNP,ORG
372,,(,(,O
373,,NFU,NNP,ORG
374,,),),O
375,,chairman,NN,O
376,,John,NNP,PER
377,,Lloyd,NNP,PER
378,,Jones,NNP,PER
379,,said,VBD,O
380,,on,IN,O
381,,BBC,NNP,ORG
382,,radio,NN,ORG
383,Sentence: 16,Bonn,NNP,LOC
384,,has,VBZ,O
385,,led,VBN,O
386,,efforts,NNS,O
387,,to,TO,O
388,,protect,VB,O
389,,public,JJ,O
390,,health,NN,O
391,,after,IN,O
392,,consumer,NN,O
393,,confidence,NN,O
394,,collapsed,VBD,O
395,,in,IN,O
396,,March,NNP,O
397,,after,IN,O
398,,a,DT,O
399,,British,JJ,MISC
400,,report,NN,O
401,,suggested,VBD,O
402,,humans,NNS,O
403,,could,MD,O
404,,contract,VB,O
405,,an,DT,O
406,,illness,NN,O
407,,similar,JJ,O
408,,to,TO,O
409,,mad,JJ,O
410,,cow,NN,O
411,,disease,NN,O
412,,by,IN,O
413,,eating,VBG,O
414,,contaminated,VBN,O
415,,beef,NN,O
416,Sentence: 17,Germany,NNP,LOC
417,,imported,VBD,O
418,,"47,600",CD,O
419,,sheep,NN,O
420,,from,IN,O
421,,Britain,NNP,LOC
422,,last,JJ,O
423,,year,NN,O
424,,",",",",O
425,,nearly,RB,O
426,,half,NN,O
427,,of,IN,O
428,,total,JJ,O
429,,imports,NNS,O
430,Sentence: 18,It,PRP,O
431,,brought,VBD,O
432,,in,IN,O
433,,"4,275",CD,O
434,,tonnes,NNS,O
435,,of,IN,O
436,,British,JJ,MISC
437,,mutton,NN,O
438,,",",",",O
439,,some,DT,O
440,,10,CD,O
441,,percent,NN,O
442,,of,IN,O
443,,overall,JJ,O
444,,imports,NNS,O
445,Sentence: 19,-DOCSTART-,-X-,O
446,,Rare,NNP,O
447,,Hendrix,NNP,PER
448,,song,NN,O
449,,draft,NN,O
450,,sells,VBZ,O
451,,for,IN,O
452,,almost,RB,O
453,,$,$,O
454,,"17,000",CD,O
455,Sentence: 20,LONDON,NNP,LOC
456,,1996-08-22,CD,O
457,,A,DT,O
458,,rare,JJ,O
459,,early,JJ,O
460,,handwritten,JJ,O
461,,draft,NN,O
462,,of,IN,O
463,,a,DT,O
464,,song,NN,O
465,,by,IN,O
466,,U.S.,NNP,LOC
467,,guitar,NN,O
468,,legend,NN,O
469,,Jimi,NNP,PER
470,,Hendrix,NNP,PER
471,,was,VBD,O
472,,sold,VBN,O
473,,for,IN,O
474,,almost,RB,O
475,,$,$,O
476,,"17,000",CD,O
477,,on,IN,O
478,,Thursday,NNP,O
479,,at,IN,O
480,,an,DT,O
481,,auction,NN,O
482,,of,IN,O
483,,some,DT,O
484,,of,IN,O
485,,the,DT,O
486,,late,JJ,O
487,,musician,NN,O
488,,'s,POS,O
489,,favourite,JJ,O
490,,possessions,NNS,O
491,Sentence: 21,A,DT,O
492,,Florida,NNP,LOC
493,,restaurant,NN,O
494,,paid,VBD,O
495,,"10,925",CD,O
496,,pounds,NNS,O
497,,(,(,O
498,,$,$,O
499,,"16,935",CD,O
500,,),),O
501,,for,IN,O
502,,the,DT,O
503,,draft,NN,O
504,,of,IN,O
505,,Ai,VBZ,MISC
506,,n't,RB,MISC
507,,no,DT,MISC
508,,telling,VBG,MISC
509,,",",",",O
510,,which,WDT,O
511,,Hendrix,NNP,PER
512,,penned,VBN,O
513,,on,IN,O
514,,a,DT,O
515,,piece,NN,O
516,,of,IN,O
517,,London,NNP,LOC
518,,hotel,NN,O
519,,stationery,NN,O
520,,in,IN,O
521,,late,JJ,O
522,,1966,CD,O
523,Sentence: 22,At,IN,O
524,,the,DT,O
525,,end,NN,O
526,,of,IN,O
527,,a,DT,O
528,,January,NNP,O
529,,1967,CD,O
530,,concert,NN,O
531,,in,IN,O
532,,the,DT,O
533,,English,JJ,MISC
534,,city,NN,O
535,,of,IN,O
536,,Nottingham,NNP,LOC
537,,he,PRP,O
538,,threw,VBD,O
539,,the,DT,O
540,,sheet,NN,O
541,,of,IN,O
542,,paper,NN,O
543,,into,IN,O
544,,the,DT,O
545,,audience,NN,O
546,,",",",",O
547,,where,WRB,O
548,,it,PRP,O
549,,was,VBD,O
550,,retrieved,VBN,O
551,,by,IN,O
552,,a,DT,O
553,,fan,NN,O
554,Sentence: 23,Buyers,NNS,O
555,,also,RB,O
556,,snapped,VBD,O
557,,up,RB,O
558,,16,CD,O
559,,other,JJ,O
560,,items,NNS,O
561,,that,WDT,O
562,,were,VBD,O
563,,put,VBN,O
564,,up,RP,O
565,,for,IN,O
566,,auction,NN,O
567,,by,IN,O
568,,Hendrix,NNP,PER
569,,'s,POS,O
570,,former,JJ,O
571,,girlfriend,NN,O
572,,Kathy,NNP,PER
573,,Etchingham,NNP,PER
574,,",",",",O
575,,who,WP,O
576,,lived,VBD,O
577,,with,IN,O
578,,him,PRP,O
579,,from,IN,O
580,,1966,CD,O
581,,to,TO,O
582,,1969,CD,O
583,Sentence: 24,They,PRP,O
584,,included,VBD,O
585,,a,DT,O
586,,black,JJ,O
587,,lacquer,NN,O
588,,and,CC,O
589,,mother,NN,O
590,,of,IN,O
591,,pearl,NN,O
592,,inlaid,VBD,O
593,,box,NN,O
594,,used,VBN,O
595,,by,IN,O
596,,Hendrix,NNP,PER
597,,to,TO,O
598,,store,VB,O
599,,his,PRP$,O
600,,drugs,NNS,O
601,,",",",",O
602,,which,WDT,O
603,,an,DT,O
604,,anonymous,JJ,O
605,,Australian,JJ,MISC
606,,purchaser,NN,O
607,,bought,VBD,O
608,,for,IN,O
609,,"5,060",CD,O
610,,pounds,NNS,O
611,,(,(,O
612,,$,$,O
613,,"7,845",CD,O
614,,),),O
615,Sentence: 25,The,DT,O
616,,guitarist,NN,O
617,,died,VBD,O
618,,of,IN,O
619,,a,DT,O
620,,drugs,NNS,O
621,,overdose,NN,O
622,,in,IN,O
623,,1970,CD,O
624,,aged,VBN,O
625,,27,CD,O
626,Sentence: 26,-DOCSTART-,-X-,O
627,,China,NNP,LOC
628,,says,VBZ,O
629,,Taiwan,NNP,LOC
630,,spoils,VBZ,O
631,,atmosphere,NN,O
632,,for,IN,O
633,,talks,NNS,O
634,Sentence: 27,BEIJING,VBG,LOC
635,,1996-08-22,CD,O
636,,China,NNP,LOC
637,,on,IN,O
638,,Thursday,NNP,O
639,,accused,VBD,O
640,,Taipei,NNP,LOC
641,,of,IN,O
642,,spoiling,VBG,O
643,,the,DT,O
644,,atmosphere,NN,O
645,,for,IN,O
646,,a,DT,O
647,,resumption,NN,O
648,,of,IN,O
649,,talks,NNS,O
650,,across,IN,O
651,,the,DT,O
652,,Taiwan,NNP,LOC
653,,Strait,NNP,LOC
654,,with,IN,O
655,,a,DT,O
656,,visit,NN,O
657,,to,TO,O
658,,Ukraine,NNP,LOC
659,,by,IN,O
660,,Taiwanese,NNP,MISC
661,,Vice,NNP,O
662,,President,NNP,O
663,,Lien,NNP,PER
664,,Chan,NNP,PER
665,,this,DT,O
666,,week,NN,O
667,,that,WDT,O
668,,infuriated,VBD,O
669,,Beijing,NNP,LOC
670,Sentence: 28,Speaking,VBG,O
671,,only,JJ,O
672,,hours,NNS,O
673,,after,IN,O
674,,Chinese,JJ,MISC
675,,state,NN,O
676,,media,NNS,O
677,,said,VBD,O
678,,the,DT,O
679,,time,NN,O
680,,was,VBD,O
681,,right,RB,O
682,,to,TO,O
683,,engage,VB,O
684,,in,IN,O
685,,political,JJ,O
686,,talks,NNS,O
687,,with,IN,O
688,,Taiwan,NNP,LOC
689,,",",",",O
690,,Foreign,NNP,ORG
691,,Ministry,NNP,ORG
692,,spokesman,NN,O
693,,Shen,NNP,PER
694,,Guofang,NNP,PER
695,,told,VBD,O
696,,Reuters,NNP,ORG
697,,:,:,O
698,,The,DT,O
699,,necessary,JJ,O
700,,atmosphere,NN,O
701,,for,IN,O
702,,the,DT,O
703,,opening,NN,O
704,,of,IN,O
705,,the,DT,O
706,,talks,NNS,O
707,,has,VBZ,O
708,,been,VBN,O
709,,disrupted,VBN,O
710,,by,IN,O
711,,the,DT,O
712,,Taiwan,NNP,LOC
713,,authorities,NNS,O
714,Sentence: 29,State,NN,O
715,,media,NNS,O
716,,quoted,VBD,O
717,,China,NNP,LOC
718,,'s,POS,O
719,,top,JJ,O
720,,negotiator,NN,O
721,,with,IN,O
722,,Taipei,NNP,LOC
723,,",",",",O
724,,Tang,NNP,PER
725,,Shubei,NNP,PER
726,,",",",",O
727,,as,IN,O
728,,telling,VBG,O
729,,a,DT,O
730,,visiting,JJ,O
731,,group,NN,O
732,,from,IN,O
733,,Taiwan,NNP,LOC
734,,on,IN,O
735,,Wednesday,NNP,O
736,,that,IN,O
737,,it,PRP,O
738,,was,VBD,O
739,,time,NN,O
740,,for,IN,O
741,,the,DT,O
742,,rivals,NNS,O
743,,to,TO,O
744,,hold,VB,O
745,,political,JJ,O
746,,talks,NNS,O
747,Sentence: 30,Now,RB,O
748,,is,VBZ,O
749,,the,DT,O
750,,time,NN,O
751,,for,IN,O
752,,the,DT,O
753,,two,CD,O
754,,sides,NNS,O
755,,to,TO,O
756,,engage,VB,O
757,,in,IN,O
758,,political,JJ,O
759,,talks,NNS,O
760,,...,:,O
761,,that,WDT,O
762,,is,VBZ,O
763,,to,TO,O
764,,end,VB,O
765,,the,DT,O
766,,state,NN,O
767,,of,IN,O
768,,hostility,NN,O
769,,",",",",O
770,,Thursday,NNP,O
771,,'s,POS,O
772,,overseas,JJ,O
773,,edition,NN,O
774,,of,IN,O
775,,the,DT,O
776,,People,NNPS,ORG
777,,'s,POS,ORG
778,,Daily,JJ,ORG
779,,quoted,VBN,O
780,,Tang,NNP,PER
781,,as,IN,O
782,,saying,VBG,O
783,Sentence: 31,The,DT,O
784,,foreign,JJ,O
785,,ministry,NN,O
786,,'s,POS,O
787,,Shen,NNP,ORG
788,,told,VBD,O
789,,Reuters,NNP,ORG
790,,Television,NNP,ORG
791,,in,IN,O
792,,an,DT,O
793,,interview,NN,O
794,,he,PRP,O
795,,had,VBD,O
796,,read,VBN,O
797,,reports,NNS,O
798,,of,IN,O
799,,Tang,NNP,PER
800,,'s,POS,O
801,,comments,NNS,O
802,,but,CC,O
803,,gave,VBD,O
804,,no,DT,O
805,,details,NNS,O
806,,of,IN,O
807,,why,WRB,O
808,,the,DT,O
809,,negotiator,NN,O
810,,had,VBD,O
811,,considered,VBN,O
812,,the,DT,O
813,,time,NN,O
814,,right,RB,O
815,,for,IN,O
816,,talks,NNS,O
817,,with,IN,O
818,,Taiwan,NNP,LOC
819,,",",",",O
820,,which,WDT,O
821,,Beijing,NNP,LOC
822,,considers,VBZ,O
823,,a,DT,O
824,,renegade,NN,O
825,,province,NN,O
826,Sentence: 32,China,NNP,LOC
827,,",",",",O
828,,which,WDT,O
829,,has,VBZ,O
830,,long,RB,O
831,,opposed,VBN,O
832,,all,DT,O
833,,Taipei,NNP,LOC
834,,efforts,NNS,O
835,,to,TO,O
836,,gain,VB,O
837,,greater,JJR,O
838,,international,JJ,O
839,,recognition,NN,O
840,,",",",",O
841,,was,VBD,O
842,,infuriated,VBN,O
843,,by,IN,O
844,,a,DT,O
845,,visit,NN,O
846,,to,TO,O
847,,Ukraine,NNP,LOC
848,,this,DT,O
849,,week,NN,O
850,,by,IN,O
851,,Taiwanese,NNP,MISC
852,,Vice,NNP,O
853,,President,NNP,O
854,,Lien,NNP,PER
855,Sentence: 33,-DOCSTART-,-X-,O
856,,China,NNP,LOC
857,,says,VBZ,O
858,,time,NN,O
859,,right,RB,O
860,,for,IN,O
861,,Taiwan,NNP,LOC
862,,talks,NNS,O
863,Sentence: 34,BEIJING,VBG,LOC
864,,1996-08-22,CD,O
865,,China,NNP,LOC
866,,has,VBZ,O
867,,said,VBD,O
868,,it,PRP,O
869,,was,VBD,O
870,,time,NN,O
871,,for,IN,O
872,,political,JJ,O
873,,talks,NNS,O
874,,with,IN,O
875,,Taiwan,NNP,LOC
876,,and,CC,O
877,,that,IN,O
878,,the,DT,O
879,,rival,JJ,O
880,,island,NN,O
881,,should,MD,O
882,,take,VB,O
883,,practical,JJ,O
884,,steps,NNS,O
885,,towards,IN,O
886,,that,DT,O
887,,goal,NN,O
888,Sentence: 35,Consultations,NNS,O
889,,should,MD,O
890,,be,VB,O
891,,held,VBN,O
892,,to,TO,O
893,,set,VB,O
894,,the,DT,O
895,,time,NN,O
896,,and,CC,O
897,,format,NN,O
898,,of,IN,O
899,,the,DT,O
900,,talks,NNS,O
901,,",",",",O
902,,the,DT,O
903,,official,NN,O
904,,Xinhua,NNP,ORG
905,,news,NN,O
906,,agency,NN,O
907,,quoted,VBN,O
908,,Tang,NNP,PER
909,,Shubei,NNP,PER
910,,",",",",O
911,,executive,JJ,O
912,,vice,NN,O
913,,chairman,NN,O
914,,of,IN,O
915,,the,DT,O
916,,Association,NNP,ORG
917,,for,IN,ORG
918,,Relations,NNP,ORG
919,,Across,IN,ORG
920,,the,DT,ORG
921,,Taiwan,NNP,ORG
922,,Straits,NNP,ORG
923,,",",",",O
924,,as,IN,O
925,,saying,VBG,O
926,,late,RB,O
927,,on,RB,O
928,,Wednesday,NNP,O
929,Sentence: 36,-DOCSTART-,-X-,O
930,,German,NNP,MISC
931,,July,NNP,O
932,,car,NN,O
933,,registrations,NNS,O
934,,up,RB,O
935,,14.2,CD,O
936,,pct,JJ,O
937,,yr,NN,O
938,,/,SYM,O
939,,yr,NN,O
940,Sentence: 37,FRANKFURT,NNP,LOC
941,,1996-08-22,CD,O
942,,German,JJ,MISC
943,,first-time,JJ,O
944,,registrations,NNS,O
945,,of,IN,O
946,,motor,NN,O
947,,vehicles,NNS,O
948,,jumped,VBD,O
949,,14.2,CD,O
950,,percent,NN,O
951,,in,IN,O
952,,July,NNP,O
953,,this,DT,O
954,,year,NN,O
955,,from,IN,O
956,,the,DT,O
957,,year-earlier,JJ,O
958,,period,NN,O
959,,",",",",O
960,,the,DT,O
961,,Federal,NNP,ORG
962,,office,NN,ORG
963,,for,IN,ORG
964,,motor,NN,ORG
965,,vehicles,NNS,ORG
966,,said,VBD,O
967,,on,IN,O
968,,Thursday,NNP,O
969,Sentence: 38,The,DT,O
970,,office,NN,O
971,,said,VBD,O
972,,"356,725",CD,O
973,,new,JJ,O
974,,cars,NNS,O
975,,were,VBD,O
976,,registered,VBN,O
977,,in,IN,O
978,,July,NNP,O
979,,1996,CD,O
980,,--,:,O
981,,"304,850",CD,O
982,,passenger,NN,O
983,,cars,NNS,O
984,,and,CC,O
985,,"15,613",CD,O
986,,trucks,NNS,O
987,Sentence: 39,The,DT,O
988,,figures,NNS,O
989,,represent,VBP,O
990,,a,DT,O
991,,13.6,CD,O
992,,percent,NN,O
993,,increase,NN,O
994,,for,IN,O
995,,passenger,NN,O
996,,cars,NNS,O
997,,and,CC,O
998,,a,DT,O
999,,2.2,CD,O
1000,,percent,NN,O
1001,,decline,NN,O
1002,,for,IN,O
1003,,trucks,NNS,O
1004,,from,IN,O
1005,,July,NNP,O
1006,,1995,CD,O
1007,Sentence: 40,Motor-bike,JJ,O
1008,,registration,NN,O
1009,,rose,VBD,O
1010,,32.7,CD,O
1011,,percent,NN,O
1012,,in,IN,O
1013,,the,DT,O
1014,,period,NN,O
1015,Sentence: 41,The,DT,O
1016,,growth,NN,O
1017,,was,VBD,O
1018,,partly,RB,O
1019,,due,JJ,O
1020,,to,TO,O
1021,,an,DT,O
1022,,increased,VBN,O
1023,,number,NN,O
1024,,of,IN,O
1025,,Germans,NNPS,MISC
1026,,buying,VBG,O
1027,,German,JJ,MISC
1028,,cars,NNS,O
1029,,abroad,RB,O
1030,,",",",",O
1031,,while,IN,O
1032,,manufacturers,NNS,O
1033,,said,VBD,O
1034,,that,DT,O
1035,,domestic,JJ,O
1036,,demand,NN,O
1037,,was,VBD,O
1038,,weak,JJ,O
1039,,",",",",O
1040,,the,DT,O
1041,,federal,JJ,O
1042,,office,NN,O
1043,,said,VBD,O
1044,Sentence: 42,Almost,RB,O
1045,,all,DT,O
1046,,German,JJ,MISC
1047,,car,NN,O
1048,,manufacturers,NNS,O
1049,,posted,VBD,O
1050,,gains,NNS,O
1051,,in,IN,O
1052,,registration,NN,O
1053,,numbers,NNS,O
1054,,in,IN,O
1055,,the,DT,O
1056,,period,NN,O
1057,Sentence: 43,Volkswagen,NNP,ORG
1058,,AG,NNP,ORG
1059,,won,VBD,O
1060,,"77,719",CD,O
1061,,registrations,NNS,O
1062,,",",",",O
1063,,slightly,RB,O
1064,,more,RBR,O
1065,,than,IN,O
1066,,a,DT,O
1067,,quarter,NN,O
1068,,of,IN,O
1069,,the,DT,O
1070,,total,NN,O
1071,Sentence: 44,Opel,NNP,ORG
1072,,AG,NNP,ORG
1073,,together,RB,O
1074,,with,IN,O
1075,,General,NNP,ORG
1076,,Motors,NNPS,ORG
1077,,came,VBD,O
1078,,in,IN,O
1079,,second,JJ,O
1080,,place,NN,O
1081,,with,IN,O
1082,,"49,269",CD,O
1083,,registrations,NNS,O
1084,,",",",",O
1085,,16.4,CD,O
1086,,percent,NN,O
1087,,of,IN,O
1088,,the,DT,O
1089,,overall,JJ,O
1090,,figure,NN,O
1091,Sentence: 45,Third,JJ,O
1092,,was,VBD,O
1093,,Ford,NNP,ORG
1094,,with,IN,O
1095,,"35,563",CD,O
1096,,registrations,NNS,O
1097,,",",",",O
1098,,or,CC,O
1099,,11.7,CD,O
1100,,percent,NN,O
1101,Sentence: 46,Only,RB,O
1102,,Seat,NNP,ORG
1103,,and,CC,O
1104,,Porsche,NNP,ORG
1105,,had,VBD,O
1106,,fewer,JJR,O
1107,,registrations,NNS,O
1108,,in,IN,O
1109,,July,NNP,O
1110,,1996,CD,O
1111,,compared,VBN,O
1112,,to,TO,O
1113,,last,JJ,O
1114,,year,NN,O
1115,,'s,POS,O
1116,,July,NNP,O
1117,Sentence: 47,Seat,NN,ORG
1118,,posted,VBD,O
1119,,"3,420",CD,O
1120,,registrations,NNS,O
1121,,compared,VBN,O
1122,,with,IN,O
1123,,5522,CD,O
1124,,registrations,NNS,O
1125,,in,IN,O
1126,,July,NNP,O
1127,,a,DT,O
1128,,year,NN,O
1129,,earlier,RBR,O
1130,Sentence: 48,Porsche,NNP,ORG
1131,,'s,POS,O
1132,,registrations,NNS,O
1133,,fell,VBD,O
1134,,to,TO,O
1135,,554,CD,O
1136,,from,IN,O
1137,,643,CD,O
1138,Sentence: 49,-DOCSTART-,-X-,O
1139,,GREEK,JJ,MISC
1140,,SOCIALISTS,NNS,O
1141,,GIVE,VBP,O
1142,,GREEN,NNP,O
1143,,LIGHT,NNP,O
1144,,TO,TO,O
1145,,PM,NNP,O
1146,,FOR,IN,O
1147,,ELECTIONS,NNS,O
1148,Sentence: 50,ATHENS,NNS,LOC
1149,,1996-08-22,CD,O
1150,,The,DT,O
1151,,Greek,NNP,MISC
1152,,socialist,JJ,O
1153,,party,NN,O
1154,,'s,POS,O
1155,,executive,JJ,O
